Notification ID,Notification short name,Notification long name
ServiceReminder_OdometerReading,ServiceReminder_OdometerReading Notification,ServiceReminder_OdometerReading Notification
Brand,Channel,Attribute,en_US
default,apiPush,body,Your service is due based on odometer reading. Please visit a service station.
default,apiPush,subtitle,ServiceReminder_OdometerReading Notification
default,apiPush,title,ServiceReminder_OdometerReading Notification
default,email,body,Your service is due based on odometer reading. Please visit a service station.
default,email,from,no-reply@ahanet.net
default,email,subject,ServiceReminder_OdometerReading Notification
default,ivm,body,Your service is due based on odometer reading. Please visit a service station.
default,ivm,title,ServiceReminder_OdometerReading Notification
default,portal,body,Your service is due based on odometer reading. Please visit a service station.
default,push,body,Your service is due based on odometer reading. Please visit a service station.
default,push,subtitle,ServiceReminder_OdometerReading Notification
default,push,title,ServiceReminder_OdometerReading Notification
default,sms,body,Your service is due based on odometer reading. Please visit a service station.
